ID;NOM_COUV;COMP1;COMP2;COMP3
200034056;CC du Lautrécois et du Pays d'Agout;81139;D81;R76
200034064;CC du Cordais et du Causse (4 C);81069;D81;R76
200034098;CC des Montagnes du GIIre;74276;D74;R84
200034130;CC Gally Mauldre;78380;D78;R11
200034197;CC de Montaigne Montravel et Gurson;24370;D24;R75
200034205;CC de la Costa Verde;2B087;D2B;R94
200034270;CC du Pays de Barr;67021;D67;R44
200034379;CC Pays d'Uzès;30334;D30;R76
200034411;CC du Piémont Cévenol;30263;D30;R76
200034601;CC Causses Aigoual Cévennes;30339;D30;R76
200034635;CC du Kochersberg;67495;D67;R44
200034692;CA du Gard Rhodanien;30028;D30;R76
200034700;CA Durance-Lubéron-Verdon Agglomération;4112;D4;R93
200034718;CC de Vitry, Champagne et Der;51649;D51;R44
200034726;CC Bastides de Lomagne;32249;D32;R76
200034825;CA du Grand Guéret;23096;D23;R75
200034833;CC des Bastides Dordogne-Périgord;24223;D24;R75
200034874;CC Côtes de Meuse Woëvre;55551;D55;R44
200034882;CC Pays du Mont-Blanc;74256;D74;R84
200034957;CC du Frontonnais;31118;D31;R76
200035087;CA Terre de Provence;13027;D13;R93
200035103;CC de la Vallée de la Haute Sarthe;61133;D61;R28
200035111;CC des Sources de l'Orne;61464;D61;R28
200035129;CC de Cèze Cévennes;30227;D30;R76
200035137;CC Marche Occitane-Val d'Anglin;36035;D36;R24
200035202;CC Charlieu-Belmont;42052;D42;R84
200035319;CA Var Esterel Méditerranée (CAVEM);83061;D83;R93
200035327;CC Cazals-Salviac;46297;D46;R76
200035442;CC du Sud-Artois;62080;D62;R32
200035533;CC du Grand Saint Emilionnais;33485;D33;R75
200035541;CC des Landes d'Armagnac;40245;D40;R75
200035632;CC Armagnac Adour;32344;D32;R76
200035707;CC Piège Lauragais Malepère;11049;D11;R76
200035715;CA Carcassonne Agglo;11069;D11;R76
200035723;CC Ventoux Sud;84082;D84;R93
200035731;Roannais Agglomération;42187;D42;R84
200035756;CC Astarac Arros en Gascogne;32464;D32;R76
200035764;CC de la Beauce Loirétaine;45093;D45;R24
200035772;CC du Pays du Saintois;54563;D54;R44
200035814;CA Flers Agglo;61169;D61;R28
200035848;CC du Châtillonnais en Berry;36045;D36;R24
200035855;CC Castelnaudary Lauragais Audois;11076;D11;R76
200035863;CC Région Lézignanaise, Corbières et Minervois;11203;D11;R76
200035970;CC Vexin Centre;95370;D95;R11
